price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift
16000000,"Highland, Lokhandwala, Kandivali East, Kandivali East, Mumbai - North Mumbai, Maharashtra",1100,3,3,2,1,2
21000000,"Malad East, Mumbai, Kurar Village, Mumbai - North Mumbai, Maharashtra",1307,2,2,2,1,8
26500000,"Chembur East, Mumbai, Maharashtra",1100,2,2,2,2,2
35000000,"302., Sundar Nagar - Kalina, Mumbai - Western Suburbs, Maharashtra",1200,3,3,2,1,2
28500000,"Malad East, Mumbai, Kokani Pada, Mumbai - North Mumbai, Maharashtra",1680,3,3,4,2,7
25000000,"Midas avenue.Patel Park Vakola Santacruz East Mumbai Maharashtra 400029, Kalina, Mumbai - Western Suburbs, Maharashtra",1300,3,3,2,1,1
22000000,"Eden - I, Hiranandani Gardens, Powai, Mumbai, Hiranandani Gardens, Mumbai - Western Suburbs, Maharashtra",1050,2,2,2,1,2
55000000,"401 & 402., Ghatkopar East, Mumbai - Central Line, Maharashtra",2275,5,4,2,2,1
26500000,"off. Chandivali Farm Road, Near Nahar International School, Chandivali, Mumbai, Chandivali, Mumbai - Central Line, Maharashtra",1360,3,2,1,1,3
22500000,"Andheri west., Veera Desai Road, Mumbai, Maharashtra",850,2,2,2,1,1
29000000,"Andheri East, Mumbai, Chakala MIDC, Mumbai - Western Suburbs, Maharashtra",1430,3,3,1,1,2
13800000,"Kandivali East, Mumbai, Lokhandwala Twp, Mumbai - Western Suburbs, Maharashtra",850,2,2,2,2,3
100000000,"Powai, Mumbai, Powai, Mumbai - Central Line, Maharashtra",5250,4,5,4,3,6
80000000,"Santacruz West, Mumbai, Santacruz West, Mumbai - Western Suburbs, Maharashtra",1600,3,4,1,2,2
52500000,"Mahant road, Vile Parle East, Mumbai - Western Suburbs, Maharashtra",1500,3,3,2,1,2
25500000,"Yarrow Yucca Vinca CHS Ltd, Nahar Amrit Shakti, Chandivali, Mumbai, Rambaug, Mumbai - Central Line, Maharashtra",1313,3,2,1,1,3
61800000,"Chembur, Chembur East, Mumbai, Maharashtra",2500,3,3,1,1,2
38000000,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1157,2,2,2,1,5
48500000,"Bandra Kurla Complex, Mumbai, Bandra Kurla Complex, Mumbai - Western Suburbs, Maharashtra",1100,3,3,2,1,2
29000000,"V. N. Purav Marg, Mumbai., Chembur, Mumbai - Harbour Line, Maharashtra",1550,3,3,2,1,2
18000000,"garodia school, Mumbai, Maharashtra",980,2,2,2,1,2
107500000,"Powai, Mumbai, Central Area, Mumbai - Central Line, Maharashtra",3000,4,6,3,1,2
21000000,"goregaon west, Goregaon West, Mumbai - North Mumbai, Maharashtra",1100,3,3,1,1,3
18500000,"Wadala East, Mumbai, Bhakti Park, Mumbai - Harbour Line, Maharashtra",955,2,2,1,1,2
47000000,"2bhk on sale with parking at cuffparade, Cuffe Parade, Mumbai - South Mumbai, Maharashtra",1100,2,2,1,1,2
105000000,"Khar West, Mumbai - Western Suburbs, Maharashtra",2200,4,4,2,2,2
56000000,"Chandivali, Mumbai - Central Line, Maharashtra",2700,6,4,2,3,2
17500000,"siddharth nagar, Borivali East, Mumbai - Western Suburbs, Maharashtra",915,2,2,2,1,2
38000000,"Marol Maroshi Road, Bhawani Nagar, Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",2000,4,4,2,2,3
14300000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",875,2,2,2,1,2
16900000,"Kandivali West, Mumbai - North Mumbai, Maharashtra",880,2,3,2,30,2
17500000,"A1 chestnut Runwal mulund goragav link road mulund, Mulund West, Mumbai - Central Line, Maharashtra",1200,2,2,3,1,2
24200000,"Lodha New Cuffe Parade SewriChembur Road Eastern Fwy Opp. Imax Dome Wadala Mumbai Maharashtra 400037, Wadala, Mumbai - Harbour Line, Maharashtra",1435,2,2,3,1,5
35000000,"Goregaon East, Mumbai, Vishveshwar Nagar, Mumbai - North Mumbai, Maharashtra",1650,3,3,2,2,3
18500000,"Kalina Cst Road, Santacruz East., Santacruz East, Mumbai - Western Suburbs, Maharashtra",1046,2,2,2,1,1
15900000,"l b s marg bhandup, Bhandup West, Mumbai - Central Line, Maharashtra",1104,2,2,2,1,2
38500000,"Mumbai, Khar West, Mumbai - Western Suburbs, Maharashtra",1150,2,2,1,1,2
27500000,"Sai Sanskar Sion Trombay Road Deonar Mumbai Maharashtra 400088, Deonar, Mumbai - Harbour Line, Maharashtra",1150,2,2,2,1,2
175000000,"St. Dominic Road, Bandra West, Mumbai, Maharashtra, India., Bandra West, Mumbai - Western Suburbs, Maharashtra",1800,4,5,4,3,2
13500000,"Dr, Viegas St., in the Lane of Baretto High School, Chira Bazaar, Mumbai - South Mumbai, Maharashtra",850,3,2,2,1,0
49900000,"Chembur, Mumbai., Central Avenue Road, Mumbai - Harbour Line, Maharashtra",1850,4,4,2,2,2
12500000,"near St Joseph Church Mira road, Mira Bhayandar, Mumbai - Mira Road and Beyond, Maharashtra",850,2,2,1,1,2
22000000,"i b patel road goregoan east, Goregaon East, Mumbai - Western Suburbs, Maharashtra",1250,2,2,2,1,2
22000000,"Goregaon East, Mumbai - Western Suburbs, Maharashtra",1250,2,2,1,1,2
19500000,"Shell Colony, Mumbai - Harbour Line, Maharashtra",1296,3,2,1,5,2
21500000,"604., Marol, Mumbai - Western Suburbs, Maharashtra",1200,2,2,2,2,3
28000000,"Near Dadar Station, Dadar East, Mumbai - Central Mumbai, Maharashtra",1150,2,3,1,1,2
29000000,"Kanjurmarg East, MumbaiId number 38032707 appointment rescheduled by client today marriage anniversary hance photo shoot today not possible please call for new Appointment Date, Kanjurmarg East, Mumbai - Central Line, Maharashtra",1565,3,2,2,1,2
22000000,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",1150,2,2,2,1,4
32500000,"Malad West, Mumbai - Western Suburbs, Maharashtra",1755,3,4,2,1,2
22500000,"Andheri East, Mumbai, Marol, Mumbai - Western Suburbs, Maharashtra",1304,2,2,1,1,3
48000000,"Powai, Mumbai, Powai, Mumbai - Central Line, Maharashtra",2175,3,4,1,2,3
40000000,"A 1 apartment, walkeshwar road, malabar hill., Banganga, Mumbai - South Mumbai, Maharashtra",1000,2,3,2,1,2
33000000,"Mumbai, D.N. Nagar, Mumbai - Western Suburbs, Maharashtra",1200,2,2,3,1,2
14500000,"Pratiksha nagar sion mumbai 400022, Pratiksha Nagar-Sion, Mumbai - Central Mumbai, Maharashtra",811,2,2,2,1,2
180000000,"Juhu, Mumbai - Western Suburbs, Maharashtra",3500,4,5,2,1,2
12000000,"Shraddha Evoque Lake Road Bhandup West Mumbai Maharashtra 400078, Bhandup, Mumbai - Central Line, Maharashtra",810,2,2,2,1,2
19000000,"tilak nagar chembur, Chembur, Mumbai - Harbour Line, Maharashtra",700,2,2,1,1,2
